course_code,course_title,department,section,times,location,instructor,credits,enrollment,description,url
N/A,GREK UN3309 SELECTIONS FROM GREEK LIT. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Since the content of this course changes from year to year, it may be repeated for credit",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"GREK GU4030 Philo of Alexandria: Life of Moses, On the Contemplative Life. .",N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,GREK GU4105 HISTORY OF GREEK LITERATURE I. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,Prerequisites: at least two terms of Greek at the 3000-level or higher. Readings in Greek literature from Homer to the 4th century B.C,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,GREK GU4106 HISTORY OF GREEK LITERATURE II. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"Prerequisites: at least two terms of Greek at the 3000-level or higher.
Prerequisites: at least two terms of Greek at the 3000-level or higher. Greek literature of the 4th century B.C. and of the Hellenistic and Imperial Ages",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV UN3009 Ancient Greek ＆ Roman Medicine. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This course aims to identify, analyze, and discuss ancient Greek and Roman medical theories, observations, methodologies for diagnosis and treatment, and the philosophical and professional disputes that arose around them. This course is arranged thematically and focuses on common methodologies, such as reasoning from first causes, in contrast to epistemic observation and experience. Other broad themes include the relationship between medicine and natural history, and the connection between medical treatments and the rise of herbals as ostensibly reliable sources of information. By focusing on such general themes and methodologies, and by reading the original Greek and Latin texts in translation, this course will aim to provide an answer to the following questions: in what exactly did ancient Greek and Roman medicine consist and how did the field’s practitioners and theorists perform medical work, in their own words? There are no prerequisites for this course, nor does it require knowledge of Greek or Latin. It is equally suited to premed students, individuals with an interest in medical humanities, and Classics students",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV UN3060 Worlds of Alexander the Great Discussion. .,N/A,N/A,N/A,N/A,N/A,0 points,N/A,Corequisites: CLCV UN3059,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV UN3111 PLATO&CONFUCIUS: COMP ANC PHIL. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"CLCV UN3220 War, reality and truth in Thucydides. .",N/A,N/A,N/A,N/A,N/A,4 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"CLCV UN3321 War, reality and truth in Thucydides - Discussion. .",N/A,N/A,N/A,N/A,N/A,0 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV V3230 Classics and Film. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV GU4110 Gender and Sexuality In Ancient Greece. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,Prerequisites: sophomore standing or the instructor's permission.,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV UN3008 The Age of Augustus. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"The reign of the first Roman emperor, Augustus (27bce-14ce), has been seen as a Roman revolution, both political and cultural. Rome had for centuries been governed as a Republic, but a series of increasingly divisive civil wars allowed Augustus to create a new political system in which he exercised sole rule as the ‘first citizen’ within a ‘Restored Republic’. Augustus’ reign lasted more than 40 years, and established a model of autocratic rule that would last for four centuries. During this time there were profound changes in the political, social, and cultural structures of Rome. In this course, you will examine the nature of these changes, Augustus’ political strategies, military activities, and religious initiatives through his own writing, the accounts of (often hostile) historians and a range of literary and archaeological sources, including Roman poetry. Ultimately, we will address the question: how did Augustus achieve the seemingly paradoxical feat of becoming a monarch within a republican system?",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV UN3070 Polis: the Biography of the Ancient Greek City-State 650 BCE-350 CE. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"This course explores the history of the Greek city-state, first as a long narrative story from the obscure leap to stately forms in the Aegean basin during the early seventh century BCE, to the end of municipal forms in the late Roman empire in the fourth century CE. Is there a single polis form that develops and endures during this century ? This is the concern of the first half of the course. The second half explores implications of the polis as a social and political organism: as ideas, ideology and institutions; as self-interest; and as a site and a tool of domination. The possible consequences for the politics of living together will be examined throughout the course, which balances between history and political philosophy",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV UN3071 Discussion - Polis: the Biography of the Ancient Greek City-State 650 BCE-350 CE. .,N/A,N/A,N/A,N/A,N/A,0.00 points,N/A,"This course explores the history of the Greek city-state, first as a long narrative story from the obscure leap to stately forms in the Aegean basin during the early seventh century BCE, to the end of municipal forms in the late Roman empire in the fourth century CE. Is there a single polis form that develops and endures during this century ? This is the concern of the first half of the course. The second half explores implications of the polis as a social and political organism: as ideas, ideology and institutions; as self-interest; and as a site and a tool of domination. The possible consequences for the politics of living together will be examined throughout the course, which balances between history and political philosophy",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV UN3015 Race and Ethnicity in the Greco-Roman World - Discussion. .,N/A,N/A,N/A,N/A,N/A,0 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"CLCV BC3601 Priestess, Queen, Goddess: The Divine Feminine in the Kingdom of Kush. .",N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"The prominence of powerful goddesses (Hathor, Mut, and Isis), the reverence awarded to the queen mothers of Kush, and a series of sole-ruling queens (one of whom led her army in battle against the invading Romans), highlight the unusually high status of women in this ancient African society and serve as a fitting focus for the study of female power in the ancient world. This course will examine more closely the queens, priestesses, and mothers who formed an essential societal component in ancient Nubia and its complex systems of goddess worship, sacred sexualities, and family lineages, both royal and non-royal. Examining the rich funerary traditions and goods found in royal burials, and temple and tomb imagery, we will explore how ancient Africans of the Nile Valley understood female power and presence to be an essential enlivening element in maintaining Maat, the balance of male and female energies, in order to cultivate “divine right order” in the world and in the cosmos. In this six-week immersive seminar, we’ll examine the history of Kushite queens who served as powerful complements to their husband the king, as the central figure in the coronation ceremonies for their son as he assumed the kingship, and as rulers in their own right during a time when this level of power was unavailable to women anywhere else in the world. After surveying the earlier phases of the ancient African kingdom of Kush: Kerma (2600-1500 BCE) and Napata (900-300 BCE), we will focus on the last phase of the Kingdom of Kush – Meroe (300 BCE – 300 CE) where women truly came into their power",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV GU4190 PHILOSOPHY IN CLASSICAL ROME. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV GU4160 Reading Rome in the Middle Ages and Beyond. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This course will examine the ways Rome has been described and imagined from late antiquity through the Middle Ages, when the imperial city was transformed into a Christian capital, renowned for its monuments and its complex historical significance. The city became the goal of pilgrims, visitors, artists and scholars, but also the subject of criticisms and satire, and continued to be so into the modern age. The great German poet Goethe wrote at length in his Italian Journey (1786-1787) about his enchantment with the monuments of “the First City of the world [sic]” (Johann Wolfgang von Goethe, Italian Journey (1786-1788), trans. W. H. Auden and Elizabeth Mayer [1962], p. 115), while at the same time he described the living contemporary city and its inhabitants through stereotypical and ethnic preconceptions. His near-contemporary Edward Gibbon declared that he was inspired to write his great work The Decline and Fall of the Roman Empire as he contrasted the city’s classical ruins and the Christian Church of the Ara Coeli, once a pagan temple: “It was at Rome, on the fifteenth of October, 1764, as I sat musing amidst the ruins of the Capitol, while the barefoot friars were singing vespers in the Temple of Jupiter, that the idea of writing the decline and fall of the city first started to my mind.” Memoirs of My Life (1796). This course is not meant to be a history of post-classical Rome. Rather, we will consider and discuss a selection of interdisciplinary texts, written, visual and material (buildings, artistic works in various forms, including films, and other physical evidence) that present the transformation of old Rome into new Rome, but which also shaped the varied images of Rome in the Middle Ages, and beyond, even in modern times, as illustrated by the films included in the syllabus",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLCV GU4180 Friendship from Antiquity to the Present. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"At all times and in all places, human beings have established and cherished friendships, that is, affectionate bonds with individuals to whom they were not linked by blood relationship or erotic love. But what is friendship? This and related questions are asked in some of our earliest literature and remain relevant today. What is a friend? Can I really trust my friend? How many friends can or should a person have? And is it ever necessary to sever a friendship or ""unfriend"" a person? In this course, we will examine how philosophical writers of Greco-Roman antiquity—notably, Plato, Aristotle, and Cicero—address these issues and how their discourse on friendship resonates through western thought, including in such writers as Aquinas, Montaigne, Bacon, Kant, and Emerson. We will put these theoretical approaches in dialogue with depictions of and reflections on friendship in letters, poetry, novels, plays, children's literature, and film, ranging from the second millennium BCE Epic of Gilgamesh to Elena Ferrante's 2012 bestseller My Brilliant Friend. These sometimes complementary and sometimes jarring juxtapositions will lead us to consider friendship both in its historically and culturally conditioned and in its universal aspects, and will, with any luck, inspire a new appreciation of this profoundly human experience",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLLT UN3125 Book Histories and the Classics. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,Prerequisites: HUMA CC1001 or HUMA GS1001COCI CC1101,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"CLLT UN3126 Queer Classics: Desire, Embodiment, Backward Glances. .",N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"While the word ‘homosexual’ didn’t appear in print until 1891, Ancient Greece and Rome were full of queers, people whose sexual behavior, desires, gender, and/or other characteristics were at odds with dominant norms. This course traces ancient queerness across three modules. First, we discuss primary evidence and scholarly attitudes towards homoeroticism and gender variance in antiquity. Second, we explore the reception of ancient homoeroticism at the turn of the 20th century, a period that witnessed an explosion of engagement with ancient queer icons. Third, we trace the transformations of ancient queer myths and imagery in contemporary popular culture, engaging with film, novels, Zines, and social media. No prerequisites",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"CLLT UN3127 Hercules: Hero, Murderer, Philosopher, Buffoon. .",N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLLT UN3128 THE ARTIST AND THE DICTATOR: ROMAN WRITERS UNDER NERO. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLLT UN3129 An Odyssey of Odysseys: Receptions of Homer’s Odyssey from Antiquity to the 21st Century. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Homer’s Odyssey, likely composed around the 9th or 8th century BCE, has had an enduring legacy. Our journey this semester will bring us into contact with a varied selection of artistic endeavors, spanning different cultures, times, and media, that draw on the Odyssey for material or inspiration. A guiding set of broadly-formulated questions will steer our course: Can we find in the Odyssey some of the same meaning, today, that it held for its original audience and that it held, subsequently, for later Greeks? Do receptions of the Odyssey try to recapture it, reframe it, refashion it, or become something independent? (Are these mutually exclusive options?) How do we read these works in light of the Odyssey, and also how do we re-visit and re-read the Odyssey in light of its receptions? It is no secret that the present bears the enduring weight of the past, but is the past changed as a result?",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLLT UN3132 Classical Myth. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,GRKM UN3001 Advanced Modern Greek I. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,Prerequisites: GRKM V2101 or the equivalent.,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"GRKM UN3003 GREECE TODAY: LANG, LIT. .",N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Prerequisites: GRKM UN2102
Prerequisites: GRKM UN2102 This course builds on the elements of the language acquired in GRKM1101 through 2102, but new students may place into it, after special arrangement with the instructor. It introduces the students to a number of authentic multimodal materials drawn from a range of sources which include films, literary texts, media, music etc. in order to better understand Greece’s current cultural, socio-economic, and political landscape. In doing so, it aims to foster transcultural understanding and intercultural competence, while further developing the four language skills: listening, speaking, reading and writing. Topics of discussion include language, gender equality, youth unemployment, education, queer identities, refugees, and the multilayered aspects of the crisis.Pre-requisite for this class: GRKM 2102 or placement test. Instructor’s permission required if the students have not taken GRKM2102 or equivalent",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,GRKM UN3935 Hellenism and the Topographical Imagination. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,GRKM UN3996 Readings in Modern Greek. .,N/A,N/A,N/A,N/A,N/A,1 point,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,GRKM GU4135 Topics Through Greek Film. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"This course explores issues of memory and trauma, public history and testimony, colonialism and biopolitics, neoliberalism and governmentality, and crisis and kinship, all through the medium of Greek film. It brings the Greek cinema canon (Angelopoulos, Cacoyannis, Gavras, Koundouros, et al.) into conversation with the work of contemporary artists, ethnographers, documentary filmmakers, and the recent “weird wave” and asks: what kind of lens does film offer onto the study of a society’s history and contemporary predicament? The viewing and discussion of films is facilitated through a consideration of a wide range of materials, including travelogues, criticism, archival footage, and interviews with directors. The course does not assume any background knowledge and all films will have English subtitles. An additional 1-credit bilingual option (meeting once per week at a time TBD) is offered for students who wish to read, view, and discuss materials in Greek",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLGM UN3650 Mental health in Literature from antiquity to futurity. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This seminar explores the relationship between literature, culture, and mental health. It pays particular emphasis to the poetics of emotions structuring them around the five stages of grief: denial, anger, bargaining, depression, acceptance and the concept of hope. During the course of the semester, we will discuss a variety of content that explores issues of race, socioeconomic status, political beliefs, abilities/disabilities, gender expressions, sexualities, and stages of life as they are connected to mental illness and healing. Emotions are anchored in the physical body through the way in which our bodily sensors help us understand the reality that we live in. By feeling backwards and thinking forwards, we will ask a number of important questions relating to literature and mental health, and will trace how human experiences are first made into language, then into science, and finally into action. The course surveys texts from Homer, Ovid, Aeschylus and Sophocles to Virginia Woolf, Sylvia Plath, C.P. Cavafy, Dinos Christianopoulos, Margarita Karapanou, Katerina Anghelaki-Rooke, Katerina Gogou etc., and the work of artists such as Toshio Matsumoto, Yorgos Lanthimos, and Anohni",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLGM UN3800 WRITING RESISTANCE. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Set within a transnational and transdisciplinary feminist framework, Writing Resistance will unfold and examine the ways traumatic, lived experiences of gender and structural violence, systematic oppression and precarity, incarceration, racism, and colonialism, have been silenced or submerged in canonical writing and official history making. As an antidote, we will attempt a “queering” of this patriarchal and “colonial archive” (Stoler), by shedding light and focusing on diverse forms of writing, autobiographies and biomythographies, poetry and fiction, and theoretical readings that are either produced by or centered on the lived experiences, psyches and bodies, of women, people of color, dissidents and incarcerated people, queer, transgender, and non-binary individuals, refugees and other historically and systematically marginalized voices and identities. Within the context of what has often been approached as “minor literature” (Deleuze and Guattari), the fragmented truths, interrupted stories, and the “descent to the everyday” (Das), will reveal not only traumas, suffering, and alienation, but also what Veena Das approaches as “poisonous knowledge,” where the gendered, queer, racialized, and political body, solidarity, and silence, return as resistance, reclaiming voices, visibility, and authorship",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"CLGM UN3921 The World Responds to the Greeks – Modernity, Postcoloniality, Globality- Discussion. .",N/A,N/A,N/A,N/A,N/A,0 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"CPLS GU4095 Mobility and Enclosure, Statelessness and Democracy. .",N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"The volume and intensity of human mobility from the Middle East and North Africa to Europe remains dramatically increased nowadays, despite the overall restrictions in mobility imposed by the pandemic conditions worldwide. During the last decade refugee statelessness has evolved into as a quasi-permanent liminal condition of being within the political body of western societies, especially in so called border countries of the European periphery. The continuous expansion and multiplication of camps and hot-spots in countries such as Turkey, Greece, Italy, Spain, etc. has created different states of existence within the national territories, raising a wide range of issues that concern statehood, political rights, the right to equal treatment and access to public goods (i.e., health, education, safety, representation etc.), which concern the core social and political demands of a democratic polity. However, the antinomies and aporias related to refugee statelessness within the nation state are nowadays further aggravated by the pandemic conditions of the last two years. The pandemic has opened up a new space of unprecedented state intervention in the public and private lives of citizens, while reconfiguring the meaning of globalization. Questions of democracy, statehood and statelessness, mobility, access, restriction and enclosure are now re-conditioned under the two-fold historical contingency of refugee life and citizen life in a pandemic. In this course we address these emerging issues through theoretical, literary, legal, historical texts that highlight how long established social and political problems, imbedded in existing structures since the late 20th century, are currently intrinsically re-conditioned. Our intention is to serve a pedagogy that is alert to how the present time affects the social and intellectual life of people across borders and cultures, while retaining deep historical learning that establishes connections between radical new occurrences (such as the Covid pandemic or the refugee problem in the Mediterranean) and long term hard structural patterns",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLGM GU4150 C.P. Cavafy and the poetics of desire. .,N/A,N/A,N/A,N/A,N/A,4 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLGM GU4300 Retranslation: Worlding C. P. Cavafy. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"Focusing on a canonical author is an immensely productive way to explore translation research and practice. The works of Sappho, Dante, Rilke, Césaire or Cavafy raise the question of reception in relation to many different critical approaches and illustrate many different strategies of translation and adaptation. The very issue of intertextuality that challenged the validity of author-centered courses after Roland Barthes’s proclamation of the death of the author reinstates it if we are willing to engage the oeuvre as an on-going interpretive project. By examining the poetry of the Greek Diaspora poet C. P. Cavafy in all its permutations (as criticism, translation, adaptation), the Cavafy case becomes an experimental ground for thinking about how a canonical author can open up our theories and practices of translation. For the final project students will choose a work by an author with a considerable body of critical work and translations and, following the example of Cavafy and his translators, come up with their own retranslations. Among the materials considered are commentary by E. M. Forster, C. M. Bowra, and Roman Jakobson, translations by Edmund Keeley and Philip Sherrard, James Merrill, Marguerite Yourcenar, and Daniel Mendelsohn, poems by W.H. Auden, Lawrence Durrell, and Joseph Brodsky, and visual art by David Hockney, and Duane Michals",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLGM GU4450 How to do things with Homosexual Bodies. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"Homosexuality, as a term, might be a relatively recent invention in Western culture but bodies that acted and appeared ‘differently’ existed long before that. This course will focus on acts, and not identities, in tracing the evolution of writing the homosexual body from antiquity until today. In doing so it will explore a number of multimodal materials – texts, vases, sculptures, paintings, movies etc. – in an effort to understand the evolution of the ways in which language (written, spoken or visual) registers the homosexual body in literature and culture. When we bring the dimension of the body into the way we view the past, we find that new questions and new ways of approaching old questions emerge. What did the ancient actually write about the homosexual body? Did they actually create gender non-binary statues? Can we find biographies of the lives of saints in drag in Byzantium? How did the Victorians change the way in which we understand homosexual writing in Antiquity? How is the queer body registered in Modern Greek Literature and Culture? Can one write the history of homosexuality as a history of bodies? These are some of the questions that we will examine during the semester",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,"CLGM UN3700 Politics of Violence: Conflict, Borders, and the Carceral State. .",N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"Politics of Violence offers an analysis of the role of the state, its mechanisms, and its structures in perpetuating, legitimizing, and facilitating political, racial and gender based violence worldwide. We will explore the connections and effects of nationalism, militarism, and heteropatriarchy (as structural and ideological elements of the state) as well as neoliberal assaults and practices in the normalization of violence against dissidents, incarcerated populations, refugees, workers, and indigenous communities. We will engage in a theoretical discussion on the salience of particular ideational and material experiences of race, ethnicity, indigeneity, gender and queer identities, political affiliation, in rendering state sponsored, political violence, and torture thinkable. The course aims to shed light on the power structures within militaristic and hypermasculinized state frameworks, and on biopolitical practices that legitimize structural violence against particular communities based on their political, class, gender, ethnic identities or precarious immigration status. In this seminar, we will examine violence, persecution, and dispossession as inherent phenomena of the sovereign nation state, in their continuities and ruptures, during war and conflict, but also in migratory, democratic, and transitional contexts. Students will examine historical and contemporary cases of state sponsored and political violence, systematic violations of human rights in the context of genocide, gendercide, racist violence, colonial terrorism, carceral regimes, and the securitization of forced migration. Lectures and readings provide a comparative, transnational perspective but focus on regional case studies, through a transdisciplinary lens, drawing on international relations, anthropology, gender studies, political theory, and history",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CSGM UN3567 THESSALONIKI DOWN THE AGES. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This course will explore the fascinatingly layered and multicultural history of Thessaloniki, the great city of Northern Greece and the Balkans. We will examine texts, archaeological evidence, literature, songs, and movies and in general the materialities of the city. We will examine this material from the 6th century BCE down to the the 21st cent. CE. We will notably think about the problems of history, identity, and cultural interaction in reaction to recent work such as Mark Mazower’s well know Salonica, City of Ghosts [2004]",https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,HSCL UN3000 The Persian Empire . .,N/A,N/A,N/A,N/A,N/A,4 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,CLEN UN3720 Plato the Rhetorician. .,N/A,N/A,N/A,N/A,N/A,4 points,N/A,Prerequisites: Instructor's permission,https://bulletin.columbia.edu/columbia-college/departments-instruction/classics/
N/A,COGS UN3903 Senior Project. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,Senior Project in Cognitive Science,https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,PSYC BC3394 METACOGNITION. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"Prerequisites: BC1001, and one psychology laboratory course; final enrollment determined on the first day of class Metacognition is one of the latest psychological buzzwords, but what exactly is metacognition? Metacognition enables us to be successful learners, problem solvers, and decision makers, and as often been used synonymously with words such as language, awareness, and consciousness. In this seminar, we will examine various components of metacognition, including its role in learning and memory, and its existence in various non-human populations. In addition, we will explore the fragility of metacognition, including illusions of confidence and harmful control strategies that people use. Readings will include classic and important recent papers in the field, looking at metacognition as a higher-level cognitive process, and as knowledge individuals use to guide behavior",https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,NSBV BC2008 ADAPTIVE OR ARRESTED DEVELOPMENT OF THE ADOLESCENT BRAIN. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"The teen brain has received a lot of media coverage with advances in brain imaging techniques that provide a voyeuristic opportunity for us to look under the hood of the behaving adolescent brain. This course will cover empirical and theoretical accounts of adolescent-specific changes in brain and behavior that relate to the development of self control. These accounts of adolescent brain and behavior will then be discussed in the context of relevant legal, social and health policy issues. Lectures and discussion will address: Under what circumstances self control appears to be diminished in adolescents. How do dynamic changes in neural circuitry help to explain changes in self control across development? When does the capacity for self control fully mature? Are these changes observed in other species? How might these changes be evolutionarily adaptive and when are they maladaptive? How might understanding adolescent brain and behavioral development inform interventions and treatments for maladaptive behavior or inform policy for changing the environment to protect youth?",https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,PSYC UN2481 Developmental Cognitive Neuroscience. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"The course will be an introduction to the science of structural and functional brain development beginning in the prenatal period. We will cover major domains in both cognitive and social development. This is a flipped course, where students will watch lectures online (three 55 minute lectures each week) and participate in classroom discussions and exercises (1 hour 50 minutes twice a week) with the Professor and each other when in person",https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,NSBV BC3381 Visual Neuroscience: From the Eyeball to the Mind's Eye. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"By absorbing electromagnetic radiation through their eyes, people are able to catch frisbees, recognize faces, and judge the beauty of art. For most of us, seeing feels effortless. That feeling is misleading. Seeing requires not only precise optics to focus images on the retina, but also the concerted action of millions of nerve cells in the brain. This intricate circuitry infers the likely causes of incoming patterns of light and transforms that information into feelings, thoughts, and actions. In this course we will study how light evokes electrical activity in a hierarchy of specialized neural networks that accomplish many unique aspects of seeing. Students will have the opportunity to focus their study on particular aspects, such as color, motion, object recognition, learning, attention, awareness, and how sight can be lost and recovered. Throughout the course we will discuss principles of neural information coding (e.g., receptive field tuning, adaptation, normalization, etc.) that are relevant to other areas of neuroscience, as well as medicine, engineering, art and design",https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,PHIL UN3252 Philosophy of Language and Mind. .,N/A,N/A,N/A,N/A,N/A,3 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,PHIL UN3651 PHILOSOPHY OF MIND. .,N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,ECON GU4850 COGNITIVE MECH ＆ ECON BEHAVIOR. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,"Prerequisites: ECON UN3211 and ECON UN3213 and STAT UN1201 ECON W3211, W3213; STAT 1201.
Prerequisites: ECON UN3211 and ECON UN3213 and STAT UN1201 Standard economic theory seeks to explain human behavior (especially in economic settings, such as markets) in terms of rational choice, which means that the choices that are made can be predicted on the basis of what would best serve some coherent objective, under an objectively correct understanding of the predictable consequences of alternative actions. Observed behavior often seems difficult to reconcile with a strong form of this theory, even if incentives clearly have some influence on behavior; and the course will discuss empirical evidence (both from laboratory experiments and observations in the field) for some well-established anomalies. But beyond simply cataloguing anomalies for the standard theory, the course will consider the extent to which departures from a strong version of rational choice theory can be understood as reflecting cognitive processes that are also evident in other domains such as sensory perception; examples from visual perception will receive particular attention. And in addition to describing what is known about how the underlying mechanisms work (something that is understood in more detail in sensory contexts than in the case of value-based decision making), the course will consider the extent to which such mechanisms --- while suboptimal from a normative standpoint that treats perfect knowledge of one's situation as costless and automatic --- might actually represent efficient uses of the limited information and bounded information-processing resources available to actual people (or other organisms). Thus the course will consider both ways in which the realism of economic analysis may be improved by taking into account cognitive processes, and ways in which understanding of cognitive processes might be advanced by considering the economic problem of efficient use of limited (cognitive) resources",https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,STEM BC2223 PROGRAMMING BEHAV SCIENCES. .,N/A,N/A,N/A,N/A,N/A,4.00 points,N/A,,https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
N/A,"SOAR AV4000 SOUND:Music, Math, and Mind. .",N/A,N/A,N/A,N/A,N/A,3.00 points,N/A,"This course is a detailed and hands-on (ears-on) exploration of the fundamental physical, physiological, and psychological aspects of sound. Topics covered include sound waves and their physical nature, the propagation and speed of sound in different mediums, geological and other non-living sound sources, animal and insect sound generating strategies, sound perception mechanisms and abilities in different species, the physiology of human hearing and the structure of the human ear, psycho-acoustics and human sound perception, sonic illusions and tricks of the ear. In-class experiments and research make up the majority of the class. Each student will design and lead at least one experiment/demo session. Students also respond to creative weekly prompts about sound topics on courseworks. We also have visits with a number of special guests during the term",https://bulletin.columbia.edu/columbia-college/departments-instruction/cognitive-science/
